timestep,walker0_x,walker0_y,walker1_x,walker1_y,walker2_x,walker2_y,walker3_x,walker3_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7583782483516601,0.6855386041800852,0.22269146042897908,0.4216983339543469,-1.0,1.0,0.9081049852202644,-0.4187425650899408
2,0.3199239615753905,1.1153368289867882,-1.1389914496535238,0.4522901080930731,0.0,2.0,1.8113854260905087,-0.8477931974647892
3,0.17035989728616896,3.434197498837787,-1.1081041753932042,1.8114985760118723,1.0,3.0,2.7701625073226666,-1.1319524987447993
4,2.370746748321084,3.14279944061613,-2.6610883357706836,2.154992944175441,0.0,4.0,3.7070214866018754,-1.4816598806284527
5,2.0584120888844857,2.3198554157207143,-3.4292861272824346,1.4638750652316506,-1.0,3.0,4.570751465862185,-1.985614762465096
6,2.8607424592250297,2.485750075424356,-4.175468591284028,3.03097009633254,0.0,4.0,5.563734067587933,-1.8673542336739364
7,-0.13673517079377318,0.6492042943126628,-5.07421374258392,3.977916744553443,1.0,3.0,6.454989463583178,-1.4138525036779432
8,1.1540703966547141,-0.2541219173574736,-3.93562592515718,4.4106199380455084,0.0,2.0,7.38231067349936,-1.0395860562910717
9,1.1828492784841222,-1.1090667441459434,-3.0386916151785415,5.871902485467289,-1.0,3.0,8.354702516415978,-1.272940087388081
10,1.9095481508915206,-1.66039514767155,-2.9450991076725024,6.256526149639443,-2.0,2.0,9.354701419294162,-1.2714587898399519
11,0.7358805420620242,-0.12297006287250722,-2.552259833028148,5.466524404718539,-3.0,1.0,10.35388261444045,-1.2309996837445691
12,-0.9478045110204492,1.0889257755838988,-1.6907939603828184,6.108866588890519,-4.0,2.0,11.345109625855958,-1.0988292943213773
13,-1.2034469699891674,3.2236034448336017,-0.0683072579682249,5.35332469183045,-5.0,1.0,12.345108120627712,-1.0970942282633178
14,0.18669868286063473,1.2245213941432092,-0.45044756601646796,5.773769362242873,-4.0,0.0,13.328997821965457,-1.2758707804213794
15,-1.159126638814771,-0.5675639035131625,0.20893216349168398,4.748299807059313,-3.0,1.0,14.325857331168972,-1.355061177001548
16,-1.3671835446947476,0.521369699687046,-0.26550802040725335,5.435529459985734,-4.0,2.0,15.325856857829413,-1.3560341512542466
17,-3.1659263134543223,0.7000052542726198,-0.6723303474581335,5.916943619191937,-3.0,3.0,16.296271830748175,-1.1145910309648535
18,-3.5345216617952824,1.018755642729106,-1.918626368486797,7.62412809115849,-2.0,4.0,17.292685835728037,-1.0299793847215992
19,-2.8237731533858317,0.8232558826995604,-2.848642771177591,6.299302470634332,-3.0,3.0,18.292627827711918,-1.0192084670582606
20,-1.9852158795790482,1.9992354316395542,-3.668672182738698,6.031069410677718,-4.0,2.0,19.292328572553213,-0.9947458268949075
21,-0.02215273910221449,3.816715133073036,-2.732731368845772,5.42232824415041,-5.0,1.0,20.29030863489523,-0.9312179183205948
22,0.403786944167818,3.428910528441207,-1.5218563666650051,6.4004128491351775,-4.0,2.0,21.28805773607172,-0.9982755882883134
23,1.5396220731143928,2.5496976234952164,-1.5114121143931585,5.601167803416057,-3.0,3.0,22.28426853532698,-0.9113040788890008
24,0.6263022446337293,4.561214796395623,-1.1561245161770013,5.347744677381674,-2.0,4.0,23.27466213708804,-0.77302713362784
25,1.2421648043685822,3.850786460702508,-2.7895101980427954,4.988846899895911,-1.0,5.0,24.252070611592135,-0.561668022237822
26,1.1356479048603327,4.282699214785428,-1.915667297525965,4.045655002581108,-2.0,4.0,25.012662322502937,0.08756248327911564
27,2.4209006956840096,4.042985480471737,-0.8350609823407784,5.587189363366829,-1.0,3.0,25.940840173811615,0.4596993886513224
28,4.359546038763473,4.321343363871524,-2.4612390600173972,5.711043698580156,0.0,4.0,26.933434224054423,0.581177993444831
29,6.01088518677517,4.696026579560858,-0.768938208629842,5.119192982127795,-1.0,3.0,27.868246433282813,0.9363204063970624
30,6.432972103417504,4.159761427553239,-2.4247861592659308,4.956729525309047,-2.0,4.0,28.667188212821312,1.537728780888021
31,7.179881680691044,5.620023340817402,-3.9585902707553764,4.90327734648875,-3.0,3.0,29.65055036098814,1.719384734692789
32,9.038972850458194,6.148663968188513,-3.531885734931711,3.7688373174135994,-2.0,2.0,30.647984916907927,1.6478004720570505
33,8.48318929892568,5.824095567360045,-5.103981638297426,5.1816666719615245,-3.0,3.0,31.61047220829155,1.37647370609944
34,8.267228421851875,5.7423728914827885,-5.797169264547792,5.1151690478302125,-2.0,4.0,32.541471416775195,1.0114525097247318
