timestep,walker0,walker1,walker2,walker3,walker4,walker5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.9143043381780096,0.8198810964943873,-0.5451929746056924,1.2817397231116718,1.0170118272301047,-1.0
2,-1.9825477452742957,2.3668092361194577,-1.435596757570237,2.4452204302836673,0.28339587573402536,0.0
3,-2.0692344725423726,3.0355027146495788,-2.485943964343089,-0.4152201139354661,1.5381258577735006,-1.0
4,-2.0862205525398463,3.6344378858328663,-3.0186159375838204,-0.7947451103232572,2.753409795216152,0.0
5,-2.2760378276259887,3.105551096702214,-3.3928316996619547,0.005765213092987054,3.7913930452850355,-1.0
6,-2.1505492709358,4.408229148920887,-3.1247535759227842,0.8814666149449571,4.947198683673125,-2.0
7,-2.6380094817124453,5.706419606679794,-3.8144533355076473,0.3598242049185715,4.059623476107611,-1.0
8,-3.8558056743080025,5.207678341068987,-4.510374894738586,0.4058626360005428,3.006017491562471,-2.0
9,-6.52415207582963,6.62814715727926,-5.698933107020695,0.27491253075012045,3.855111374133343,-3.0
10,-8.303200302256768,6.113295436935471,-5.604191726192304,1.4457808638337415,2.6094086142786286,-4.0
11,-8.212537921173913,5.4798218749619085,-5.4993255471537745,1.4013589073162598,2.041708252026749,-5.0
12,-7.161166454517131,4.034003682720746,-6.208940118315626,2.116509060664636,1.4492301434155812,-6.0
13,-7.741540914328167,5.561513648638801,-6.588262710397048,2.844009070921757,0.7653587176597788,-7.0
14,-8.10709716070192,4.120932171932334,-6.54390954686377,2.8839093971544183,0.48623979295715336,-8.0
15,-9.093525764279326,5.53495828366426,-5.09656322460088,3.8891090987930372,-0.7443405222217854,-9.0
16,-7.773654504049294,6.819220395177993,-7.6015626696920675,4.574728165723355,-1.7866494991782467,-10.0
17,-9.042584032738429,5.921904212749617,-7.784480667929673,5.2597972045306225,-2.3295650630075873,-11.0
18,-11.257299083117552,4.2199770696200725,-7.775240855818433,3.632179817367824,-1.054513044543551,-12.0
19,-9.463393354204934,5.4849299898923505,-8.67179446600826,3.5211593593627755,-2.2782734500199497,-13.0
20,-9.445908880812977,7.029215342554886,-9.487382325468614,2.434255226188601,-3.2116920438075978,-14.0
21,-10.6993882013783,6.267690502157765,-9.312251921526851,2.4266169211749595,-4.4706390335049235,-15.0
22,-9.629379850318093,6.964187182434915,-9.47847871192629,2.743500535804893,-3.1880635386291596,-14.0
23,-9.759739030860958,6.053938951449258,-8.770522491760932,2.733903525011911,-4.0938290923546985,-13.0
